date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather
2020-03-28,83.89,166.2034483,-36.66551724,21.18965517,21.91310345,40.26793103,1012.144483,189.1055172,36.82068966,468.4586207,644.7551724,11.5,10.5,43.98586207,1.117241379,219,12,77,8,1013,pioggia 
2020-03-29,78.0400722,168.1227437,-36.44765343,20.85559567,22.23285199,40.64837545,1012.002888,210.7729242,39.58844765,473.8122744,662.66787,17.11913357,16.10469314,43.47148014,1.103971119,219,14,72,8,1013,sole
2020-03-30,107.46,166.6275862,-36.85862069,20.15862069,22.08034483,41.72965517,1010.938966,205.492069,98.6862069,477.0482759,1051.234483,17.49310345,16.46551724,44.30344828,1.11,219,14,71,8,1012,sole
2020-03-31,50.75273973,162.7226027,-36.15753425,20.72945205,20.95547945,38.04760274,1013.441781,194.5428082,36.06164384,449.0582192,639.5239726,13.06506849,12.06506849,44.82157534,1.098630137,219,11,68,15,1014,sole
2020-04-01,50.5725,158.6375,-35.375,20.0375,17.09125,25.7075,1014.18875,176.48625,22.0875,412.425,547.625,10.225,9.225,43.8075,0.9925,219,8,41,18,1015,sole
2020-04-09,25.24375,173.5625,-41.8125,13.5625,27.48125,28.65,1019.0875,271.675,5.25,452,362.1875,13.625,12.625,45.0625,1.475,219,16,61,10,1021,sole
2020-04-14,27.70692308,173.5461538,-35.6,20.65384615,23.28384615,40.91615385,1010.332308,198.1523077,112.0230769,433.1076923,1138.253846,13.17692308,12.17692308,44.01230769,1.360769231,219,13,79,9,1012,pioggia 
2020-04-15,50.37638889,165.2465278,-36,20.03819444,22.65138889,30.66076389,1018.788194,205.9982639,30.13541667,418.2048611,601.1041667,9.59375,8.59375,44.56076389,1.292361111,219,12,57,12,1020,sole
2020-04-16,93.53702422,166.2560554,-35.99653979,21.12802768,23.41522491,34.37750865,1021.327336,209.3622837,43.03114187,436.1314879,685.6678201,10.79930796,9.799307958,43.87647059,1.289273356,219,15,60,9,1022,sole
2020-04-17,113.7175862,169.8344828,-35.88275862,20.51724138,24.0562069,38.04206897,1018.947931,207.9482759,71.00344828,441.7068966,869.362069,11.75517241,10.75517241,43.88172414,1.300689655,219,17,66,10,1020,sole
